name,nationality,fastestLapTime
"Spyker MF1",Dutch,01:25.5
"BMW Sauber",German,01:25.5
Renault,French,01:25.5
"Manor Marussia",British,01:25.5
Ferrari,Italian,01:25.5
Sauber,Swiss,01:25.5
Mercedes,German,01:25.5
Renault,French,01:25.5
"Red Bull",Austrian,01:25.5
Jordan,Irish,01:25.5
Spyker,Dutch,01:25.5
Williams,British,01:25.5
Sauber,Swiss,01:25.5
"Toro Rosso",Italian,01:25.5
Williams,British,01:25.5
Williams,British,01:25.6
Williams,British,01:25.6
Renault,French,01:25.6
"Toro Rosso",Italian,01:25.6
"Force India",Indian,01:25.6
Renault,French,01:25.6
Mercedes,German,01:25.6
Minardi,Italian,01:25.6
"Toro Rosso",Italian,01:25.7
Renault,French,01:25.7
Williams,British,01:25.7
Sauber,Swiss,01:25.7
Mercedes,German,01:25.7
"Super Aguri",Japanese,01:25.7
Mercedes,German,01:25.7
"Lotus F1",British,01:25.7
McLaren,British,01:25.7
Williams,British,01:25.7
"Toro Rosso",Italian,01:25.7
Sauber,Swiss,01:25.7
Renault,French,01:25.7
Ferrari,Italian,01:25.7
Toyota,Japanese,01:25.7
Williams,British,01:25.7
Renault,French,01:25.7
Toyota,Japanese,01:25.8
BAR,British,01:25.8
"Force India",Indian,01:25.8
Mercedes,German,01:25.8
Toyota,Japanese,01:25.8
Williams,British,01:25.8
Mercedes,German,01:25.8
"Force India",Indian,01:25.8
McLaren,British,01:25.8
"BMW Sauber",German,01:25.8
Renault,French,01:25.8
"Toro Rosso",Italian,01:25.9
McLaren,British,01:25.9
"Force India",Indian,01:25.9
"Red Bull",Austrian,01:25.9
Williams,British,01:25.9
Ferrari,Italian,01:25.9
"Force India",Indian,01:25.9
BAR,British,01:25.9
"Toro Rosso",Italian,01:26.0
McLaren,British,01:26.0
"Force India",Indian,01:26.0
"BMW Sauber",German,01:26.0
Renault,French,01:26.0
Ferrari,Italian,01:26.0
Williams,British,01:26.0
"Toro Rosso",Italian,01:26.0
Jaguar,British,01:26.0
"Force India",Indian,01:26.0
BAR,British,01:26.0
"Toro Rosso",Italian,01:26.0
"Haas F1 Team",American,01:26.0
"Haas F1 Team",American,01:26.0
Minardi,Italian,01:26.0
"Toro Rosso",Italian,01:26.0
"Haas F1 Team",American,01:26.0
Renault,French,01:26.1
"Toro Rosso",Italian,01:26.1
McLaren,British,01:26.1
Sauber,Swiss,01:26.1
BAR,British,01:26.1
Toyota,Japanese,01:26.1
"Lotus F1",British,01:26.1
Williams,British,01:26.1
Minardi,Italian,01:26.1
Honda,Japanese,01:26.1
"Force India",Indian,01:26.1
MF1,Russian,01:26.1
Sauber,Swiss,01:26.2
"Toro Rosso",Italian,01:26.2
"Toro Rosso",Italian,01:26.2
McLaren,British,01:26.2
"Toro Rosso",Italian,01:26.2
Renault,French,01:26.2
McLaren,British,01:26.2
Williams,British,01:26.2
Sauber,Swiss,01:26.2
Ferrari,Italian,01:26.2
Renault,French,01:26.2
Minardi,Italian,01:26.2
Toyota,Japanese,01:26.2
Mercedes,German,01:26.2
"Toro Rosso",Italian,01:26.2
Ferrari,Italian,01:26.2
McLaren,British,01:26.2
"Toro Rosso",Italian,01:26.2
"Force India",Indian,01:26.3
McLaren,British,01:26.3
BAR,British,01:26.3
Ferrari,Italian,01:26.3
Mercedes,German,01:26.3
"Lotus F1",British,01:26.3
Ferrari,Italian,01:26.3
McLaren,British,01:26.3
McLaren,British,01:26.3
Sauber,Swiss,01:26.3
"Red Bull",Austrian,01:26.3
Renault,French,01:26.3
McLaren,British,01:26.3
Sauber,Swiss,01:26.3
McLaren,British,01:26.4
Minardi,Italian,01:26.4
Ferrari,Italian,01:26.4
"Red Bull",Austrian,01:26.4
Williams,British,01:26.4
Williams,British,01:26.4
McLaren,British,01:26.4
McLaren,British,01:26.4
Minardi,Italian,01:26.4
"Red Bull",Austrian,01:26.4
"Haas F1 Team",American,01:26.4
"Red Bull",Austrian,01:26.4
Ferrari,Italian,01:26.5
Minardi,Italian,01:26.5
"Red Bull",Austrian,01:26.5
"Toro Rosso",Italian,01:26.5
McLaren,British,01:26.5
Mercedes,German,01:26.5
Renault,French,01:26.5
"Manor Marussia",British,01:26.5
Williams,British,01:26.5
"Super Aguri",Japanese,01:26.5
Sauber,Swiss,01:26.5
Ferrari,Italian,01:26.5
"Toro Rosso",Italian,01:26.5
"Super Aguri",Japanese,01:26.5
Toyota,Japanese,01:26.5
Williams,British,01:26.5
Sauber,Swiss,01:26.5
Sauber,Swiss,01:26.5
Caterham,Malaysian,01:26.6
"Red Bull",Austrian,01:26.6
Ferrari,Italian,01:26.6
Ferrari,Italian,01:26.6
Mercedes,German,01:26.6
"Force India",Indian,01:26.6
"Red Bull",Austrian,01:26.6
"BMW Sauber",German,01:26.6
"Force India",Indian,01:26.6
Sauber,Swiss,01:26.6
"Red Bull",Austrian,01:26.6
Mercedes,German,01:26.6
"Red Bull",Austrian,01:26.6
Ferrari,Italian,01:26.7
Sauber,Swiss,01:26.7
"Red Bull",Austrian,01:26.7
McLaren,British,01:26.7
"Force India",Indian,01:26.7
"BMW Sauber",German,01:26.7
"Toro Rosso",Italian,01:26.7
Renault,French,01:26.7
Sauber,Swiss,01:26.7
Mercedes,German,01:26.7
McLaren,British,01:26.7
Williams,British,01:26.7
Ferrari,Italian,01:26.7
"Red Bull",Austrian,01:26.7
Spyker,Dutch,01:26.7
"Toro Rosso",Italian,01:26.7
Williams,British,01:26.7
Mercedes,German,01:26.8
"Toro Rosso",Italian,01:26.8
Ferrari,Italian,01:26.8
Sauber,Swiss,01:26.8
Williams,British,01:26.8
Williams,British,01:26.8
Ferrari,Italian,01:26.8
"Force India",Indian,01:26.8
Renault,French,01:26.8
"Red Bull",Austrian,01:26.8
"BMW Sauber",German,01:26.8
Williams,British,01:26.8
"Lotus F1",British,01:26.8
"Super Aguri",Japanese,01:26.9
Renault,French,01:26.9
Renault,French,01:26.9
"Lotus F1",British,01:26.9
"Lotus F1",British,01:26.9
Minardi,Italian,01:26.9
"Toro Rosso",Italian,01:26.9
Williams,British,01:26.9
Williams,British,01:26.9
"Toro Rosso",Italian,01:26.9
"Red Bull",Austrian,01:26.9
Williams,British,01:26.9
Williams,British,01:26.9
Williams,British,01:26.9
"Haas F1 Team",American,01:26.9
"Force India",Indian,01:26.9
Ferrari,Italian,01:26.9
Sauber,Swiss,01:26.9
McLaren,British,01:26.9
McLaren,British,01:27.0
Ferrari,Italian,01:27.0
Renault,French,01:27.0
"Lotus F1",British,01:27.0
"Red Bull",Austrian,01:27.0
Toyota,Japanese,01:27.0
"Force India",Indian,01:27.0
Williams,British,01:27.0
Ferrari,Italian,01:27.0
"Red Bull",Austrian,01:27.0
"Red Bull",Austrian,01:27.0
Mercedes,German,01:27.0
Sauber,Swiss,01:27.0
Ferrari,Italian,01:27.0
Sauber,Swiss,01:27.1
"Force India",Indian,01:27.1
Williams,British,01:27.1
Mercedes,German,01:27.1
Toyota,Japanese,01:27.1
"Lotus F1",British,01:27.1
McLaren,British,01:27.1
Lotus,Malaysian,01:27.1
"Haas F1 Team",American,01:27.1
Williams,British,01:27.1
Ferrari,Italian,01:27.1
"Red Bull",Austrian,01:27.2
"Toro Rosso",Italian,01:27.2
"Red Bull",Austrian,01:27.2
Ferrari,Italian,01:27.2
MF1,Russian,01:27.2
"Haas F1 Team",American,01:27.2
"BMW Sauber",German,01:27.2
"Red Bull",Austrian,01:27.2
Sauber,Swiss,01:27.2
Williams,British,01:27.2
"Red Bull",Austrian,01:27.2
Ferrari,Italian,01:27.2
Mercedes,German,01:27.2
"Super Aguri",Japanese,01:27.2
McLaren,British,01:27.3
McLaren,British,01:27.3
Ferrari,Italian,01:27.3
"Toro Rosso",Italian,01:27.3
Virgin,British,01:27.3
Renault,French,01:27.3
Williams,British,01:27.4
McLaren,British,01:27.4
Mercedes,German,01:27.4
Mercedes,German,01:27.4
Ferrari,Italian,01:27.4
Ferrari,Italian,01:27.4
Lotus,Malaysian,01:27.4
"Force India",Indian,01:27.4
"Toro Rosso",Italian,01:27.4
Minardi,Italian,01:27.4
Ferrari,Italian,01:27.4
Caterham,Malaysian,01:27.5
Williams,British,01:27.5
"Red Bull",Austrian,01:27.5
"Toro Rosso",Italian,01:27.5
Sauber,Swiss,01:27.5
McLaren,British,01:27.5
"Toro Rosso",Italian,01:27.5
Jordan,Irish,01:27.5
Lotus,Malaysian,01:27.5
McLaren,British,01:27.5
McLaren,British,01:27.5
"Red Bull",Austrian,01:27.5
Renault,French,01:27.6
Renault,French,01:27.6
McLaren,British,01:27.6
"Red Bull",Austrian,01:27.6
"Red Bull",Austrian,01:27.6
Brawn,British,01:27.6
Caterham,Malaysian,01:27.6
Mercedes,German,01:27.6
Sauber,Swiss,01:27.6
Sauber,Swiss,01:27.6
"Red Bull",Austrian,01:27.6
"Haas F1 Team",American,01:27.6
Ferrari,Italian,01:27.6
McLaren,British,01:27.6
McLaren,British,01:27.6
Renault,French,01:27.6
Honda,Japanese,01:27.7
"BMW Sauber",German,01:27.7
"BMW Sauber",German,01:27.7
Sauber,Swiss,01:27.7
"Lotus F1",British,01:27.7
"Red Bull",Austrian,01:27.7
Williams,British,01:27.7
"Toro Rosso",Italian,01:27.7
Mercedes,German,01:27.7
Virgin,British,01:27.7
Caterham,Malaysian,01:27.7
"Toro Rosso",Italian,01:27.7
Sauber,Swiss,01:27.7
Toyota,Japanese,01:27.8
Toyota,Japanese,01:27.8
"Manor Marussia",British,01:27.8
"Haas F1 Team",American,01:27.8
Virgin,British,01:27.8
McLaren,British,01:27.8
Lotus,Malaysian,01:27.8
"Manor Marussia",British,01:27.8
Williams,British,01:27.8
Toyota,Japanese,01:27.8
Williams,British,01:27.8
"Red Bull",Austrian,01:27.8
"BMW Sauber",German,01:27.8
"Red Bull",Austrian,01:27.8
Williams,British,01:27.8
"Toro Rosso",Italian,01:27.8
Honda,Japanese,01:27.8
Ferrari,Italian,01:27.8
Toyota,Japanese,01:27.8
Jaguar,British,01:27.8
Ferrari,Italian,01:27.9
McLaren,British,01:27.9
Toyota,Japanese,01:27.9
"Manor Marussia",British,01:27.9
Ferrari,Italian,01:27.9
Toyota,Japanese,01:27.9
Toyota,Japanese,01:27.9
Mercedes,German,01:27.9
Williams,British,01:27.9
Renault,French,01:27.9
BAR,British,01:27.9
Williams,British,01:27.9
"Red Bull",Austrian,01:27.9
Toyota,Japanese,01:28.0
Sauber,Swiss,01:28.0
McLaren,British,01:28.0
"Red Bull",Austrian,01:28.0
Honda,Japanese,01:28.0
"BMW Sauber",German,01:28.0
Williams,British,01:28.0
Honda,Japanese,01:28.0
Virgin,British,01:28.0
Ferrari,Italian,01:28.0
McLaren,British,01:28.0
Brawn,British,01:28.0
Ferrari,Italian,01:28.0
"Toro Rosso",Italian,01:28.0
Mercedes,German,01:28.0
McLaren,British,01:28.0
Williams,British,01:28.0
Toyota,Japanese,01:28.0
Ferrari,Italian,01:28.0
"Toro Rosso",Italian,01:28.0
Marussia,Russian,01:28.0
Mercedes,German,01:28.0
"BMW Sauber",German,01:28.0
Ferrari,Italian,01:28.0
Ferrari,Italian,01:28.0
Jordan,Irish,01:28.0
Honda,Japanese,01:28.1
Ferrari,Italian,01:28.1
"Red Bull",Austrian,01:28.1
Williams,British,01:28.1
"Red Bull",Austrian,01:28.1
"Red Bull",Austrian,01:28.1
"Force India",Indian,01:28.1
"Force India",Indian,01:28.1
McLaren,British,01:28.1
Ferrari,Italian,01:28.1
HRT,Spanish,01:28.1
"Toro Rosso",Italian,01:28.1
Williams,British,01:28.1
Mercedes,German,01:28.1
"Force India",Indian,01:28.1
"Lotus F1",British,01:28.1
Williams,British,01:28.2
Marussia,Russian,01:28.2
Williams,British,01:28.2
"BMW Sauber",German,01:28.2
"Force India",Indian,01:28.2
Ferrari,Italian,01:28.2
Ferrari,Italian,01:28.2
"Toro Rosso",Italian,01:28.2
Mercedes,German,01:28.2
McLaren,British,01:28.2
Virgin,British,01:28.2
"Red Bull",Austrian,01:28.2
"BMW Sauber",German,01:28.2
MF1,Russian,01:28.2
McLaren,British,01:28.2
"Toro Rosso",Italian,01:28.2
Renault,French,01:28.2
"Red Bull",Austrian,01:28.2
"Toro Rosso",Italian,01:28.2
Sauber,Swiss,01:28.3
"Red Bull",Austrian,01:28.3
Williams,British,01:28.3
Renault,French,01:28.3
Williams,British,01:28.3
"BMW Sauber",German,01:28.3
"BMW Sauber",German,01:28.3
Mercedes,German,01:28.3
Toyota,Japanese,01:28.3
"Toro Rosso",Italian,01:28.3
"BMW Sauber",German,01:28.3
"Force India",Indian,01:28.3
"Force India",Indian,01:28.3
"Toro Rosso",Italian,01:28.3
Minardi,Italian,01:28.3
Sauber,Swiss,01:28.3
Marussia,Russian,01:28.3
Renault,French,01:28.4
Toyota,Japanese,01:28.4
Honda,Japanese,01:28.4
McLaren,British,01:28.4
Williams,British,01:28.4
"Toro Rosso",Italian,01:28.4
"Red Bull",Austrian,01:28.4
"Force India",Indian,01:28.4
Ferrari,Italian,01:28.4
"Toro Rosso",Italian,01:28.4
Williams,British,01:28.4
Marussia,Russian,01:28.4
Mercedes,German,01:28.5
Sauber,Swiss,01:28.5
Ferrari,Italian,01:28.5
Jordan,Irish,01:28.5
"Force India",Indian,01:28.5
McLaren,British,01:28.5
McLaren,British,01:28.5
Honda,Japanese,01:28.5
Brawn,British,01:28.5
"Manor Marussia",British,01:28.5
McLaren,British,01:28.5
"Red Bull",Austrian,01:28.5
Williams,British,01:28.5
Ferrari,Italian,01:28.5
"Super Aguri",Japanese,01:28.5
"Super Aguri",Japanese,01:28.5
McLaren,British,01:28.5
Mercedes,German,01:28.5
"Toro Rosso",Italian,01:28.5
Renault,French,01:28.5
Renault,French,01:28.5
"Force India",Indian,01:28.5
"Force India",Indian,01:28.5
Sauber,Swiss,01:28.6
Mercedes,German,01:28.6
"Toro Rosso",Italian,01:28.6
Sauber,Swiss,01:28.6
McLaren,British,01:28.6
McLaren,British,01:28.6
"Toro Rosso",Italian,01:28.6
"Toro Rosso",Italian,01:28.6
Renault,French,01:28.6
Renault,French,01:28.6
"Toro Rosso",Italian,01:28.6
"Red Bull",Austrian,01:28.6
Williams,British,01:28.6
Ferrari,Italian,01:28.6
Williams,British,01:28.6
"Force India",Indian,01:28.6
Caterham,Malaysian,01:28.6
Caterham,Malaysian,01:28.7
Caterham,Malaysian,01:28.7
"Toro Rosso",Italian,01:28.7
"Manor Marussia",British,01:28.7
Williams,British,01:28.7
"Red Bull",Austrian,01:28.7
Spyker,Dutch,01:28.7
Honda,Japanese,01:28.7
Sauber,Swiss,01:28.7
Honda,Japanese,01:28.7
Sauber,Swiss,01:28.7
"Force India",Indian,01:28.7
Sauber,Swiss,01:28.7
Renault,French,01:28.7
"Red Bull",Austrian,01:28.7
Williams,British,01:28.7
Ferrari,Italian,01:28.7
Ferrari,Italian,01:28.7
Renault,French,01:28.7
"Red Bull",Austrian,01:28.7
McLaren,British,01:28.7
"Lotus F1",British,01:28.7
McLaren,British,01:28.7
Marussia,Russian,01:28.7
Ferrari,Italian,01:28.8
"Force India",Indian,01:28.8
Renault,French,01:28.8
"Lotus F1",British,01:28.8
"BMW Sauber",German,01:28.8
"Toro Rosso",Italian,01:28.8
"Force India",Indian,01:28.8
Caterham,Malaysian,01:28.8
Mercedes,German,01:28.8
"Red Bull",Austrian,01:28.8
HRT,Spanish,01:28.8
McLaren,British,01:28.8
Ferrari,Italian,01:28.8
Marussia,Russian,01:28.9
Sauber,Swiss,01:28.9
"Red Bull",Austrian,01:28.9
McLaren,British,01:28.9
"BMW Sauber",German,01:28.9
Ferrari,Italian,01:28.9
Toyota,Japanese,01:28.9
Honda,Japanese,01:28.9
Ferrari,Italian,01:28.9
HRT,Spanish,01:28.9
McLaren,British,01:28.9
"Force India",Indian,01:28.9
"Force India",Indian,01:28.9
"Force India",Indian,01:28.9
McLaren,British,01:28.9
"Red Bull",Austrian,01:28.9
Toyota,Japanese,01:28.9
McLaren,British,01:28.9
Ferrari,Italian,01:28.9
Ferrari,Italian,01:28.9
Williams,British,01:28.9
HRT,Spanish,01:28.9
Williams,British,01:28.9
Williams,British,01:29.0
Jordan,Irish,01:29.0
"BMW Sauber",German,01:29.0
Sauber,Swiss,01:29.0
"Red Bull",Austrian,01:29.0
Lotus,Malaysian,01:29.0
McLaren,British,01:29.0
"Toro Rosso",Italian,01:29.0
Jordan,Irish,01:29.0
"Red Bull",Austrian,01:29.0
"Toro Rosso",Italian,01:29.0
"Force India",Indian,01:29.0
McLaren,British,01:29.0
"Haas F1 Team",American,01:29.0
"Red Bull",Austrian,01:29.1
"Force India",Indian,01:29.1
Toyota,Japanese,01:29.1
"BMW Sauber",German,01:29.1
Ferrari,Italian,01:29.1
Virgin,British,01:29.1
"Toro Rosso",Italian,01:29.1
Sauber,Swiss,01:29.1
"Force India",Indian,01:29.1
Brawn,British,01:29.1
Williams,British,01:29.1
"Red Bull",Austrian,01:29.1
"Super Aguri",Japanese,01:29.1
"Toro Rosso",Italian,01:29.1
Mercedes,German,01:29.1
Sauber,Swiss,01:29.1
"Lotus F1",British,01:29.1
"Force India",Indian,01:29.1
Caterham,Malaysian,01:29.1
"Toro Rosso",Italian,01:29.1
Ferrari,Italian,01:29.1
Mercedes,German,01:29.1
"Lotus F1",British,01:29.1
"Toro Rosso",Italian,01:29.1
MF1,Russian,01:29.2
Mercedes,German,01:29.2
"Red Bull",Austrian,01:29.2
McLaren,British,01:29.2
"Red Bull",Austrian,01:29.2
"Force India",Indian,01:29.2
McLaren,British,01:29.2
Renault,French,01:29.2
Mercedes,German,01:29.2
Minardi,Italian,01:29.2
HRT,Spanish,01:29.2
"Toro Rosso",Italian,01:29.2
"Force India",Indian,01:29.2
Mercedes,German,01:29.2
McLaren,British,01:29.2
"Toro Rosso",Italian,01:29.2
Sauber,Swiss,01:29.2
Mercedes,German,01:29.2
Williams,British,01:29.2
McLaren,British,01:29.2
Williams,British,01:29.2
HRT,Spanish,01:29.3
Ferrari,Italian,01:29.3
Jordan,Irish,01:29.3
"Force India",Indian,01:29.3
Sauber,Swiss,01:29.3
Renault,French,01:29.3
Renault,French,01:29.3
"Toro Rosso",Italian,01:29.3
Toyota,Japanese,01:29.3
"Lotus F1",British,01:29.3
McLaren,British,01:29.3
McLaren,British,01:29.3
"Force India",Indian,01:29.3
McLaren,British,01:29.3
"Toro Rosso",Italian,01:29.3
"Red Bull",Austrian,01:29.4
Sauber,Swiss,01:29.4
"Red Bull",Austrian,01:29.4
"Red Bull",Austrian,01:29.4
"Force India",Indian,01:29.4
"Toro Rosso",Italian,01:29.4
Caterham,Malaysian,01:29.4
Williams,British,01:29.4
Sauber,Swiss,01:29.4
Renault,French,01:29.4
"Toro Rosso",Italian,01:29.4
McLaren,British,01:29.4
Sauber,Swiss,01:29.4
"Lotus F1",British,01:29.4
"Manor Marussia",British,01:29.4
Caterham,Malaysian,01:29.4
Williams,British,01:29.4
Minardi,Italian,01:29.4
Marussia,Russian,01:29.5
"Toro Rosso",Italian,01:29.5
"Toro Rosso",Italian,01:29.5
"Red Bull",Austrian,01:29.5
"Manor Marussia",British,01:29.5
Ferrari,Italian,01:29.5
"Red Bull",Austrian,01:29.5
Toyota,Japanese,01:29.5
HRT,Spanish,01:29.5
"Lotus F1",British,01:29.5
Mercedes,German,01:29.5
Mercedes,German,01:29.5
Marussia,Russian,01:29.5
"Toro Rosso",Italian,01:29.5
Honda,Japanese,01:29.5
McLaren,British,01:29.5
Ferrari,Italian,01:29.5
"Force India",Indian,01:29.5
Ferrari,Italian,01:29.5
Mercedes,German,01:29.5
Renault,French,01:29.6
"Red Bull",Austrian,01:29.6
Ferrari,Italian,01:29.6
"Toro Rosso",Italian,01:29.6
Lotus,Malaysian,01:29.6
Renault,French,01:29.6
Williams,British,01:29.6
Marussia,Russian,01:29.6
"Toro Rosso",Italian,01:29.6
Lotus,Malaysian,01:29.6
Ferrari,Italian,01:29.6
Marussia,Russian,01:29.6
Toyota,Japanese,01:29.6
Ferrari,Italian,01:29.6
Renault,French,01:29.6
"BMW Sauber",German,01:29.7
"Red Bull",Austrian,01:29.7
"Toro Rosso",Italian,01:29.7
Ferrari,Italian,01:29.7
McLaren,British,01:29.7
"Red Bull",Austrian,01:29.7
"Super Aguri",Japanese,01:29.7
Williams,British,01:29.7
"Red Bull",Austrian,01:29.7
MF1,Russian,01:29.7
Ferrari,Italian,01:29.7
Ferrari,Italian,01:29.7
Renault,French,01:29.7
"Toro Rosso",Italian,01:29.7
"Force India",Indian,01:29.7
"Toro Rosso",Italian,01:29.7
Sauber,Swiss,01:29.7
McLaren,British,01:29.8
"BMW Sauber",German,01:29.8
Mercedes,German,01:29.8
Virgin,British,01:29.8
"Red Bull",Austrian,01:29.8
Honda,Japanese,01:29.8
Marussia,Russian,01:29.8
"Toro Rosso",Italian,01:29.8
Lotus,Malaysian,01:29.8
Renault,French,01:29.8
McLaren,British,01:29.8
Renault,French,01:29.8
Mercedes,German,01:29.8
"Force India",Indian,01:29.8
Mercedes,German,01:29.8
Ferrari,Italian,01:29.9
Virgin,British,01:29.9
McLaren,British,01:29.9
Marussia,Russian,01:29.9
Williams,British,01:29.9
Williams,British,01:29.9
"Red Bull",Austrian,01:29.9
Toyota,Japanese,01:29.9
"Toro Rosso",Italian,01:29.9
McLaren,British,01:29.9
Sauber,Swiss,01:29.9
Ferrari,Italian,01:29.9
"Lotus F1",British,01:29.9
Marussia,Russian,01:29.9
McLaren,British,01:29.9
"Super Aguri",Japanese,01:29.9
"Manor Marussia",British,01:29.9
"Toro Rosso",Italian,01:29.9
Ferrari,Italian,01:30.0
BAR,British,01:30.0
Mercedes,German,01:30.0
Sauber,Swiss,01:30.0
Ferrari,Italian,01:30.0
"Force India",Indian,01:30.0
Ferrari,Italian,01:30.0
"Red Bull",Austrian,01:30.0
"Toro Rosso",Italian,01:30.0
Renault,French,01:30.0
Williams,British,01:30.0
"Toro Rosso",Italian,01:30.0
Sauber,Swiss,01:30.0
Toyota,Japanese,01:30.0
"Red Bull",Austrian,01:30.0
"Red Bull",Austrian,01:30.0
"Red Bull",Austrian,01:30.1
"Toro Rosso",Italian,01:30.1
Ferrari,Italian,01:30.1
McLaren,British,01:30.1
McLaren,British,01:30.1
McLaren,British,01:30.1
Williams,British,01:30.1
"Haas F1 Team",American,01:30.1
Williams,British,01:30.1
Renault,French,01:30.1
Williams,British,01:30.1
"Lotus F1",British,01:30.1
Williams,British,01:30.2
Ferrari,Italian,01:30.2
Renault,French,01:30.2
"Haas F1 Team",American,01:30.2
McLaren,British,01:30.2
Minardi,Italian,01:30.2
Ferrari,Italian,01:30.2
"Force India",Indian,01:30.2
"Red Bull",Austrian,01:30.2
Marussia,Russian,01:30.2
McLaren,British,01:30.3
Caterham,Malaysian,01:30.3
"Toro Rosso",Italian,01:30.3
Ferrari,Italian,01:30.3
McLaren,British,01:30.3
"BMW Sauber",German,01:30.3
Lotus,Malaysian,01:30.3
Marussia,Russian,01:30.3
"Force India",Indian,01:30.3
Ferrari,Italian,01:30.3
Williams,British,01:30.3
McLaren,British,01:30.3
McLaren,British,01:30.3
"BMW Sauber",German,01:30.3
Ferrari,Italian,01:30.3
"Toro Rosso",Italian,01:30.3
Sauber,Swiss,01:30.4
Williams,British,01:30.4
"Red Bull",Austrian,01:30.4
MF1,Russian,01:30.4
"Lotus F1",British,01:30.4
Williams,British,01:30.4
Sauber,Swiss,01:30.4
Sauber,Swiss,01:30.4
HRT,Spanish,01:30.4
Renault,French,01:30.4
Williams,British,01:30.5
Sauber,Swiss,01:30.5
"Toro Rosso",Italian,01:30.5
"Toro Rosso",Italian,01:30.5
Renault,French,01:30.5
Marussia,Russian,01:30.5
BAR,British,01:30.5
Marussia,Russian,01:30.5
Spyker,Dutch,01:30.6
Lotus,Malaysian,01:30.6
Caterham,Malaysian,01:30.6
Minardi,Italian,01:30.6
Mercedes,German,01:30.6
Mercedes,German,01:30.6
Ferrari,Italian,01:30.6
"Force India",Indian,01:30.6
Renault,French,01:30.6
"Super Aguri",Japanese,01:30.6
Mercedes,German,01:30.6
"Toro Rosso",Italian,01:30.6
Williams,British,01:30.6
McLaren,British,01:30.6
Sauber,Swiss,01:30.6
Sauber,Swiss,01:30.6
Mercedes,German,01:30.6
HRT,Spanish,01:30.7
Williams,British,01:30.7
Ferrari,Italian,01:30.7
Williams,British,01:30.7
Renault,French,01:30.7
Ferrari,Italian,01:30.7
Renault,French,01:30.7
"Red Bull",Austrian,01:30.7
Sauber,Swiss,01:30.7
"Toro Rosso",Italian,01:30.7
"Force India",Indian,01:30.7
Virgin,British,01:30.8
"Force India",Indian,01:30.8
"Toro Rosso",Italian,01:30.8
Renault,French,01:30.8
Caterham,Malaysian,01:30.8
Sauber,Swiss,01:30.8
Sauber,Swiss,01:30.8
"Red Bull",Austrian,01:30.8
"Lotus F1",British,01:30.8
Williams,British,01:30.8
Caterham,Malaysian,01:30.8
Lotus,Malaysian,01:30.8
Mercedes,German,01:30.9
Mercedes,German,01:30.9
Sauber,Swiss,01:30.9
Williams,British,01:30.9
McLaren,British,01:30.9
Toyota,Japanese,01:30.9
"Force India",Indian,01:30.9
"Super Aguri",Japanese,01:30.9
"Toro Rosso",Italian,01:30.9
HRT,Spanish,01:30.9
Mercedes,German,01:30.9
Renault,French,01:30.9
Toyota,Japanese,01:30.9
"Force India",Indian,01:30.9
Ferrari,Italian,01:30.9
Spyker,Dutch,01:30.9
Williams,British,01:30.9
Ferrari,Italian,01:30.9
"Super Aguri",Japanese,01:31.0
Ferrari,Italian,01:31.0
BAR,British,01:31.0
"Red Bull",Austrian,01:31.0
"Toro Rosso",Italian,01:31.0
Spyker,Dutch,01:31.0
Sauber,Swiss,01:31.0
"Super Aguri",Japanese,01:31.0
Williams,British,01:31.0
BAR,British,01:31.1
Ferrari,Italian,01:31.1
Renault,French,01:31.1
Renault,French,01:31.1
Honda,Japanese,01:31.1
"Lotus F1",British,01:31.1
Williams,British,01:31.1
"Lotus F1",British,01:31.1
Mercedes,German,01:31.1
Marussia,Russian,01:31.1
HRT,Spanish,01:31.1
Mercedes,German,01:31.1
"Red Bull",Austrian,01:31.1
"Manor Marussia",British,01:31.1
"Toro Rosso",Italian,01:31.2
"Lotus F1",British,01:31.2
McLaren,British,01:31.2
"Manor Marussia",British,01:31.2
Renault,French,01:31.2
McLaren,British,01:31.2
Mercedes,German,01:31.2
Caterham,Malaysian,01:31.2
"Manor Marussia",British,01:31.3
Sauber,Swiss,01:31.3
"Red Bull",Austrian,01:31.3
Williams,British,01:31.4
Renault,French,01:31.4
Renault,French,01:31.4
Williams,British,01:31.4
"Toro Rosso",Italian,01:31.4
Marussia,Russian,01:31.4
"Force India",Indian,01:31.4
Ferrari,Italian,01:31.4
"Force India",Indian,01:31.4
Renault,French,01:31.4
McLaren,British,01:31.4
Sauber,Swiss,01:31.4
Sauber,Swiss,01:31.4
Ferrari,Italian,01:31.5
Sauber,Swiss,01:31.5
"Force India",Indian,01:31.5
"Force India",Indian,01:31.5
Ferrari,Italian,01:31.5
Ferrari,Italian,01:31.5
"Toro Rosso",Italian,01:31.5
McLaren,British,01:31.5
"Super Aguri",Japanese,01:31.5
Sauber,Swiss,01:31.6
"Red Bull",Austrian,01:31.6
Ferrari,Italian,01:31.6
Renault,French,01:31.6
Virgin,British,01:31.6
"Toro Rosso",Italian,01:31.7
Renault,French,01:31.7
Williams,British,01:31.7
Marussia,Russian,01:31.7
Renault,French,01:31.7
McLaren,British,01:31.7
Toyota,Japanese,01:31.7
McLaren,British,01:31.7
Lotus,Malaysian,01:31.7
HRT,Spanish,01:31.7
McLaren,British,01:31.8
Toyota,Japanese,01:31.8
"Force India",Indian,01:31.8
